"typeLabel","placeName","choCount"
"beelden","Tasiilaq","28"
"kindertekeningen","Eqalugaarsuit","28"
"ontwikkelgelatinezilverdrukken","Benzdorp","28"
"beelden","Cuzco (regio)","28"
"beelden","Acatlán (Puebla)","28"
"daglichtgelatinezilverdrukken","Commewijne (district)","28"
"ontwikkelgelatinezilverdrukken","Trinidad en Tobago","28"
"ontwikkelgelatinezilverdrukken","Corantijn (rivier)","28"
"foto's","Saba -Nederlandse Antillen","28"
"gelatineplaatnegatieven","Gran Rio (rivier)","28"
"foto's","Guaymas","26"
"zwart-wit negatieven","Zacapoaxtla","26"
"beeldhouwwerken","Povungnituk","26"
"gelatinenegatieven op acetaat","Necaxa","26"
"gelatinenegatieven op nitraat","Commewijne (district)","26"
"gelatinenegatieven op acetaat","Malinalco","26"
"zwart-wit negatieven","Juchitán","26"
"foto's","Cottica (gebergte)","26"
"foto's","Aruba","26"
"zwart-wit negatieven","San Bartolo Ozolotepec","26"
"beelden","Izúcar de Matamoros","26"
"sculpturen","Kulusuk","26"
"tekeningen","Noord-Amerika","26"
"prenten","Povungnituk","26"
"kindertekeningen","Navajo I.R.","26"
"kleurendia's","Bogotá (Distrito Capital)","26"
"gelatinenegatieven op acetaat","Juchitán","26"
"foto's","Venezuela","26"
"albuminedrukken","Trinidad","26"
"zwart-wit negatieven","Malinalco","26"
"gelatinenegatieven op acetaat","Zacapoaxtla","26"
"kleurendia's","San José","26"
"zwart-wit negatieven","Necaxa","26"
"kleurenlithografieën (prenten)","Suriname","26"
"gravures","Verenigde Staten van Amerika","26"
"gelatinenegatieven op acetaat","San Bartolo Ozolotepec","26"
"zwart-wit negatieven","Valle de Bravo","26"
"gelatinenegatieven op nitraat","Lelydorp","24"
"beelden","Bolivia","24"
"zwart-wit negatieven","Atla","24"
"gelatinenegatieven op acetaat","Bigiston","24"
"beelden","Nayarit (deelstaat)","24"
"gelatineplaatnegatieven","Paramaribo","24"
"gelatinenegatieven op nitraat","Saramacca (rivier)","24"
"beelden","Valdivia","24"
"gelatinenegatieven op acetaat","Atla","24"
"lithografieën (prenten)","Suriname","24"
"ontwikkelgelatinezilverdrukken","Para (district)","24"
"foto's","Arizona","24"
"foto's","Man Fou Come Soela","24"
"gelatinenegatieven op nitraat","Litani (rivier)","24"
"ontwikkelgelatinezilverdrukken","Cottica","24"
"figuren (voorstellingen)","Santa Catarina Tlaltempan","24"
"beelden","Veracruz (deelstaat)","24"
"tekeningen","Brazilië","24"
"albuminedrukken","Caraïbisch gebied","24"
"gelatineplaatnegatieven","Voltz-berg","24"
"zwart-wit negatieven","Tehuantepec","24"
"ontwikkelgelatinezilverdrukken","Bottom","24"
"beelden","Xalitla","24"
"ontwikkelgelatinezilverdrukken","Donderkamp","24"
"beelden","Ocotlán","22"
"gelatinenegatieven op acetaat","Jalieza","22"
"daglichtcollodiumzilverdrukken","Marowijne (rivier)","22"
"zwart-wit negatieven","Huahuaxtla","22"
"kleurendia's","Huehuetenango","22"
"beeldsnijwerken","Suriname","22"
"kleurendia's","Rincon","22"
"lithografieën (prenten)","Groenland","22"
"gelatine zilverdrukken","Suriname","22"
"gelatinenegatieven op nitraat","Tapanahoni (rivier)","22"
"kleurendia's","Westpunt","22"
"zwart-wit negatieven","Jalieza","22"
"gelatinenegatieven op acetaat","Huahuaxtla","22"
"beeldhouwwerken","Kulusuk","22"
"beeldhouwwerken","Nunavut","22"
"beeldhouwwerken","Québec","22"
"kleurendia's","Rio de Janeiro","22"
"zwart-wit negatieven","Brasília","22"
"gelatinenegatieven op acetaat","Atzompa","22"
"beelden","Tlaquepaque","22"
"gelatinenegatieven op acetaat","Arenal -Hidalgo","22"
"foto's","Majoli","22"
"gelatinenegatieven op acetaat","Rio de Janeiro","22"
"gelatinenegatieven op acetaat","Tenancingo","22"
"zwart-wit negatieven","Tenancingo","22"
"zwart-wit negatieven","Atzompa","22"
"ontwikkelgelatinezilverdrukken","Mitla","22"
"zwart-wit negatieven","Arenal -Hidalgo","22"
"gelatineplaatnegatieven","Albina","22"
"gelatinenegatieven op acetaat","Ixmiquilpan","20"
"gelatinenegatieven op acetaat","Willemstad","20"
"ontwikkelgelatinezilverdrukken","Wilhelmina-gebergte","20"
"figuren (voorstellingen)","Santa Clara pueblo","20"
"foto's","Cochiti pueblo","20"
"gelatinenegatieven op acetaat","Xolotla","20"
"foto's","Nickerie (district)","20"
"beelden","Jalisco (deelstaat)","20"
"lithografieën (prenten)","Canada","20"
"beelden","Arrazola","20"
"beelden","Esmeraldas","20"
"tekeningen","Bethel","20"
"kindertekeningen","Hopi I.R.","20"
"zwart-wit negatieven","Xolotla","20"
"kleurendia's","Nederlands Caraïbisch gebied","20"
"totempalen","British Columbia","20"
"poppen (figuurvoorstellingen)","Paramaribo","20"
"stereofoto's","Paramaribo","20"
"foto's","Bonaire","20"
"ontwikkelgelatinezilverdrukken","Gran Rio (rivier)","20"
