"typeLabel","placeName","choCount"
"gelatineplaatnegatieven","Leipzig","2"
"gravures","Göttingen","2"
"ontwikkelgelatinezilverdrukken","Volendam","2"
"kabinetfoto's","München","2"
"gravures","Londen","2"
"obans (prenten)","Londen","2"
"kabinetfoto's","Londen","2"
"lantaarnplaatjes","Southampton, City of","2"
"foto's","Finland","2"
"cartes-de-visite (fotografische kaarten)","Wisla (rivier)","2"
"beelden","Zweden","2"
"gravures","Siberië","2"
"gipsmodellen","Europa","2"
"beelden","Noordoost-Siberië","2"
"ivoren (beeldhouwwerken)","Noordoost-Siberië","2"
"lithografieën (prenten)","Kazan'","2"
"daglichtcollodiumzilverdrukken","Europa- West","2"
"digitale fotoafdrukken","Nederland","2"
"schilderingen","Nederland","2"
"beeldsnijwerken","Nederland","2"
"voorstudies","Nederland","2"
"kinderprenten","Nederland","2"
"gedenkdoeken","Nederland","2"
"gelegenheidspenningen","Nederland","2"
"tekeningen","Amsterdam","2"
"batikschilderingen","Amsterdam","2"
"prenten","Amsterdam","2"
"daglichtcollodiumzilverdrukken","Haarlem","2"
"ontwikkelgelatinezilverdrukken","Hilversum","2"
"foto's","Hoorn","2"
"cartes-de-visite (fotografische kaarten)","Delft","2"
"daglichtcollodiumzilverdrukken","Rotterdam","2"
"schilderijen","Rotterdam","2"
"cartes-de-visite (fotografische kaarten)","Rotterdam","2"
"ontwikkelgelatinezilverdrukken","Amersfoort","2"
"cartes-de-visite (fotografische kaarten)","Breda","2"
"ontwikkelgelatinezilverdrukken","België","2"
"diepdrukken","Verenigd Koninkrijk","2"
"schilderingen","Verenigd Koninkrijk","2"
"foto's","Schotland","2"
"foto's","België","2"
"ontwikkelgelatinezilverdrukken","Duitsland","2"
"olieverfschilderingen","Duitsland","2"
"foto's","Köln","2"
"ontwikkelgelatinezilverdrukken","Hamburg","2"
"foto's","Luxembourg","2"
"beelden","Spanje","2"
"figuren (voorstellingen)","Spanje","2"
"foto's","Italië","2"
"positieven (beeldmateriaal)","Italië","2"
"beelden","Frankrijk","2"
"botanische prenten","Frankrijk","2"
"foto's","Provence-Alpes-Côte d'Azur","2"
"foto's","Portugal","2"
"portretten","Griekenland","2"
"albuminedrukken","Tsjechië","2"
"foto's","Servië","2"
"portretten","Albanië","2"
"daglichtgelatinezilverdrukken","Zwitserland","2"
"foto's","Zwitserland","2"
"grafsculpturen","Graz","2"
"groepsportretten","Algeciras","2"
"schilderingen","Bakhchysaray","2"
"gelatinenegatieven op acetaat","Domburg -Nederland","2"
"lichtdrukken","Parijs","2"
"tekeningen","Parijs","2"
"gelatineplaatnegatieven","Parijs","2"
"cartes-de-visite (fotografische kaarten)","Parijs","2"
"foto's","Zagreb","2"
"kruisbeelden","Zagreb","2"
"cartes-de-visite (fotografische kaarten)","Wenen","2"
"figuren (voorstellingen)","Norrbotten","2"
"miniaturen (schilderingen)","Stockholm (county)","2"
"foto's","Genua","2"
"foto's","Madrid","2"
