"typeLabel","placeName","choCount"
"krijttekeningen","Zuidoost-Azië: Insulair","76"
"collodiumnegatieven","Indonesië","76"
"daglichtgelatinezilverdrukken","Mojokerto (regentschap)","76"
"diapositieven","Padang (stadsgemeente)","76"
"kleurendia's","Israël","74"
"foto's","Sumba (eiland)","74"
"foto's","Lombok (eiland)","74"
"beelden","Sumatera Utara (provincie)","74"
"lichtdrukken","Jedda","74"
"foto's","Martapura","74"
"foto's","Ternate (eiland)","74"
"kleurendia's","Maleisië","74"
"foto's","Hilismactanao","72"
"gelatineplaatnegatieven","Klungkung (regentschap)","72"
"godenbeelden","Thailand","72"
"obans (prenten)","Japan","72"
"gelatinenegatieven op acetaat","Manado (stadsgemeente)","72"
"foto's","Minahasa (oud regentschap)","72"
"cartes-de-visite (fotografische kaarten)","Surabaya (stadsgemeente)","72"
"foto's","Bondowoso","70"
"kleurendia's","Mendut","70"
"gelatineplaatnegatieven","Ubud","70"
"bouwtekeningen","Jakarta","70"
"diapositieven","Sumatera Barat (provincie)","70"
"daglichtgelatinezilverdrukken","Sumatera","70"
"krijttekeningen","Bali","70"
"gelatinenegatieven op acetaat","Basra","70"
"ontwikkelgelatinezilverdrukken","Kalasan","70"
"lithografieën (prenten)","Kolkata","70"
"foto's","Kobe","70"
"reconstructietekeningen","Jakarta","70"
"ontwikkelgelatinezilverdrukken","Singosari","70"
"ontwikkelgelatinezilverdrukken","Blitar (regentschap)","70"
"albuminedrukken","Singapore","70"
"afgietsels","Padang-Pariaman (regentschap)","70"
"beelden","Nias (eiland)","70"
"afgietsels","Indonesië","70"
"gelatinenegatieven op nitraat","Singapore","70"
"gelatine-zilver negatieven (op drager van kunststof)","Indonesië","70"
"foto's","Tosari","70"
"ontwikkelgelatinezilverdrukken","Besuki","68"
"houtsneden","China","68"
"lichtdrukken","Jawa","68"
"aquarellen","Japan","68"
"gelatineplaatnegatieven","Malang (stadsgemeente)","68"
"gelatinenegatieven op acetaat","Balikpapan (stadsgemeente)","68"
"handrolschilderingen","China","68"
"gelatinenegatieven op acetaat","Nanggala","68"
"gelatinenegatieven op nitraat","Leh","68"
"positieven (beeldmateriaal)","Padang (stadsgemeente)","68"
"albuminedrukken","Surabaya (stadsgemeente)","68"
"diapositieven","Muara Enim (regentschap)","66"
"foto's","Noord-China","66"
"beelden","Bangladesh","66"
"lichtdrukken","Singapore","66"
"gelatinenegatieven op acetaat","Saparua (eiland)","66"
"ontwikkelgelatinezilverdrukken","Tondano","66"
"foto's","Pekalongan (regentschap)","66"
"prenten","Lahore","66"
"ontwikkelgelatinezilverdrukken","India","66"
"foto's","Malili","64"
"gelatineplaatnegatieven","Bogor (stadsgemeente)","64"
"schetsen (beeldende werken)","Japan","64"
"etsen (prenten)","Japan","64"
"gelatinenegatieven op acetaat","Bogor (stadsgemeente)","64"
"beelden","Borneo","64"
"gelatineplaatnegatieven","Kabanjahe","64"
"cartes-de-visite (fotografische kaarten)","Surakarta (stadsgemeente)","64"
"kalligrafie","Turkije","64"
"foto's","Deli Serdang (regentschap)","64"
"foto's","Luwu (gebied)","64"
"daglichtgelatinezilverdrukken","Malang (stadsgemeente)","64"
"negatieven","Bandung (stadsgemeente)","64"
"daglichtgelatinezilverdrukken","Pekalongan (regentschap)","64"
"foto's","Kediri (regentschap)","64"
"gelatinenegatieven op acetaat","Madura (eiland)","64"
"negatieven","Bogor (stadsgemeente)","62"
"kleurendia's","Tana Toraja (regentschap)","62"
"ontwikkelgelatinezilverdrukken","Gorontalo (provincie)","62"
"gelatinenegatieven op acetaat","Kalimantan Timur (provincie)","62"
"kleurendia's","Jawa","62"
"positieven (beeldmateriaal)","Bali","62"
"negatieven","Bali","62"
"kleurendia's","Nepal","62"
"positieven (beeldmateriaal)","Jawa Tengah (provincie)","62"
"gelatinenegatieven op acetaat","Jawa","62"
"foto's","Nias (eiland)","62"
"ontwikkelgelatinezilverdrukken","Magelang (regentschap)","62"
"kleurendia's","Biak (eiland)","62"
"fotografische afdrukken","Oost-Sumatera","62"
"foto's","Lhasa","62"
"daglichtgelatinezilverdrukken","Salatiga (stadsgemeente)","62"
"positieven (beeldmateriaal)","Surakarta (stadsgemeente)","62"
"positieven (beeldmateriaal)","Banda Aceh (stadsgemeente)","62"
"ontwikkelgelatinezilverdrukken","Langkat (regentschap)","62"
"gelatinenegatieven op nitraat","Banten","62"
"gelatine zilverdrukken","Surakarta (stadsgemeente)","62"
"beelden","Kalimantan","60"
"daglichtcollodiumzilverdrukken","Sumatera Utara (provincie)","60"
"gelatineplaatnegatieven","Klaten (regentschap)","60"
"ontwikkelgelatinezilverdrukken","Tegal (regentschap)","60"
"foto's","Salayar (eiland)","60"
"albuminedrukken","Pulau Pinang (deelstaat)","60"
"beelden","Myanmar","60"
"platinadrukken","Jawa","60"
"negatieven","Sumatera Utara (provincie)","60"
"boombastschilderingen","Sentani-meer","60"
"foto's","Negara (Kalimantan)","60"
"gelatinenegatieven op nitraat","Madura (eiland)","60"
"stereofoto's","Indonesië","60"
"gelatinenegatieven op acetaat","Sumba (eiland)","60"
"gelatinenegatieven op nitraat","Timor","60"
"ontwikkelgelatinezilverdrukken","Tapanuli Utara (regentschap)","58"
"kleurenlithografieën (prenten)","Kalimantan","58"
"albuminedrukken (goudgetoond)","Sumatera Barat (provincie)","58"
"gelatinenegatieven op acetaat","Minahasa (oud regentschap)","58"
"lichtdrukken","Bogor (stadsgemeente)","58"
"gelatinenegatieven op nitraat","Medan (stadsgemeente)","58"
"albuminedrukken (goudgetoond)","Jawa","58"
"ontwikkelgelatinezilverdrukken","Badung (regentschap)","58"
"cyanotypieën","Sumatera Barat (provincie)","58"
"gelatinenegatieven op acetaat","Westelijk Doberai-schiereiland","58"
"ontwikkelgelatinezilverdrukken","Tomohon","58"
"gelatinenegatieven op acetaat","Noordoost-Papua","58"
"ontwikkelgelatinezilverdrukken","Nias Selatan (regentschap)","58"
"kleurennegatieven","Cirebon (stadsgemeente)","58"
"ontwikkelgelatinezilverdrukken","Ambon (eiland)","56"
"gelatineplaatnegatieven","Sangsit","56"
"ontwikkelgelatinezilverdrukken","Kalimantan Barat (provincie)","56"
"olieverfschilderingen","Jawa","56"
"foto's","Kalimantan Barat (provincie)","56"
"gelatineplaatnegatieven","Jawa Tengah (provincie)","56"
"krijgersprenten","Japan","56"
"diapositieven","Sumatera Selatan (provincie)","56"
"tekeningen","Ubud","56"
"ontwikkelgelatinezilverdrukken","Ngada (regentschap)","56"
"stereofoto's","Sulawesi Tengah (provincie)","56"
"miniaturen (schilderingen)","Dekan (plateau)","56"
"gelatinenegatieven op nitraat","Ladakh","56"
"ontwikkelgelatinezilverdrukken","Samosir (eiland)","56"
"ontwikkelgelatinezilverdrukken","Wonosobo (regentschap)","56"
"foto's","Tana Toraja (regentschap)","56"
"tekeningen","Borobudur","56"
"foto's","Surakarta (stadsgemeente)","56"
"foto's","Pasuruan (regentschap)","56"
"gelatinenegatieven op nitraat","Bogor (stadsgemeente)","56"
"gelatinenegatieven op nitraat","Jawa Tengah (provincie)","54"
"lithografieën (prenten)","Jawa","54"
"gelatinenegatieven op nitraat","Boven-Digul (rivier)","54"
"ontwikkelgelatinezilverdrukken","Tombe","54"
"miniaturen (schilderingen)","Iran","54"
"gelatineplaatnegatieven","Bangli (regentschap)","54"
"kalligrafie","Japan","54"
"ontwikkelgelatinezilverdrukken","Sumatera Barat (provincie)","54"
"gelatinenegatieven op nitraat","Rajasthan (deelstaat)","54"
"surimono's","Japan","54"
"tekeningen","China","54"
"ontwikkelgelatinezilverdrukken","Sumatera Selatan (provincie)","54"
"foto's","Ijen plateau","54"
"maskers (beeldhouwwerk)","Kathmandu","54"
"voorouderbeelden","Alor (regentschap)","54"
"platinadrukken","Shiraz","54"
"foto's","Georgië","54"
"gelatinenegatieven op nitraat","Tigi-meer","54"
"ontwikkelgelatinezilverdrukken","Babylon (archeologische site)","54"
"lichtdrukken","Magelang (regentschap)","54"
